Player,Cost,Ownership,Form ,Pts,Round Pts
BallardSunderlandDEF,4.5,0.60%,17,17,17
SemenyoBournemouthMID,7,6.90%,15,15,15
HaalandMan CityFWD,14,24.50%,13,13,13
RicharlisonSpursFWD,6.5,2.40%,13,13,13
EkitikéLiverpoolFWD,8.5,16.90%,11,11,11
LewisMan CityDEF,5,0.80%,11,11,11
O'RileyBrightonMID,5.5,0.20%,10,10,10
ReijndersMan CityMID,5.5,20.50%,10,10,10
KudusSpursMID,6.5,25.30%,10,10,10
Aït-NouriMan CityDEF,6,21.00%,9,9,9
PopeNewcastleGKP,5,3.60%,9,9,9
BurnNewcastleDEF,5,3.70%,9,9,9
LivramentoNewcastleDEF,5,3.60%,9,9,9
VicarioSpursGKP,5,4.20%,9,9,9
CashAston VillaDEF,4.5,2.40%,8,8,8
M.SalahLiverpoolMID,14.5,54.50%,8,8,8
SchärNewcastleDEF,5.5,2.70%,8,8,8
RoefsSunderlandGKP,4.5,0.30%,8,8,8
MayendaSunderlandFWD,5.5,0.40%,8,8,8
JohnsonSpursMID,7,3.10%,8,8,8
M.BizotAston VillaGKP,4.5,0.50%,7,7,7
MunizFulhamFWD,5.5,1.90%,7,7,7
GakpoLiverpoolMID,7.5,7.60%,7,7,7
TraffordMan CityGKP,5,2.00%,7,7,7
DigneAston VillaDEF,4.5,1.90%,6,6,6
MingsAston VillaDEF,4.5,0.90%,6,6,6
GeorginioBrightonMID,6,1.40%,6,6,6
ChiesaLiverpoolMID,6.5,0.20%,6,6,6
RúbenMan CityDEF,5.5,3.30%,6,6,6
StonesMan CityDEF,5.5,0.70%,6,6,6
CherkiMan CityMID,6.5,7.90%,6,6,6
BobbMan CityMID,5.5,0.10%,6,6,6
TrippierNewcastleDEF,5,2.10%,6,6,6
HumeSunderlandDEF,4.5,0.20%,6,6,6
ReinildoSunderlandDEF,4,7.20%,6,6,6
AdingraSunderlandMID,5.5,1.60%,6,6,6
TalbiSunderlandMID,5,0.20%,6,6,6
Pedro PorroSpursDEF,5.5,22.80%,6,6,6
RomeroSpursDEF,5,3.60%,6,6,6
SpenceSpursDEF,4.5,1.30%,6,6,6
Van de VenSpursDEF,4.5,27.70%,6,6,6
P.M.SarrSpursMID,5,2.80%,6,6,6
OnanaAston VillaMID,5,1.60%,5,5,5
WilsonFulhamMID,5.5,1.00%,5,5,5
Mac AllisterLiverpoolMID,6.5,1.70%,5,5,5
IsidorSunderlandFWD,5.5,0.20%,5,5,5
CullenBurnleyMID,5,0.00%,4,4,4
TavernierBournemouthMID,5.5,0.40%,4,4,4
AdamsBournemouthMID,5,0.30%,4,4,4
BrooksBournemouthMID,5,0.20%,4,4,4
H.TraorèBournemouthMID,4.5,0.40%,4,4,4
WiefferBrightonMID,5,0.10%,4,4,4
EndoLiverpoolMID,5,0.10%,4,4,4
AldereteSunderlandDEF,4,0.90%,4,4,4
AndréWolvesMID,5.5,0.10%,4,4,4
KonsaAston VillaDEF,4.5,22.40%,3,3,3
RogersAston VillaMID,7,10.10%,3,3,3
TielemansAston VillaMID,6,2.30%,3,3,3
McGinnAston VillaMID,5.5,0.70%,3,3,3
MintehBrightonMID,6,1.20%,3,3,3
AyariBrightonMID,5,0.20%,3,3,3
BalebaBrightonMID,5,4.90%,3,3,3
LenoFulhamGKP,5,1.70%,3,3,3
VirgilLiverpoolDEF,6,24.00%,3,3,3
BernardoMan CityMID,6.5,0.80%,3,3,3
DokuMan CityMID,6.5,1.20%,3,3,3
N.GonzalezMan CityMID,6,0.10%,3,3,3
GordonNewcastleMID,7.5,1.80%,3,3,3
ElangaNewcastleMID,7,8.40%,3,3,3
BarnesNewcastleMID,6.5,0.60%,3,3,3
Bruno G.NewcastleMID,6.5,1.70%,3,3,3
TonaliNewcastleMID,5.5,2.00%,3,3,3
DiarraSunderlandMID,5.5,0.10%,3,3,3
SadikiSunderlandMID,5,0.00%,3,3,3
XhakaSunderlandMID,5,2.80%,3,3,3
BergvallSpursMID,5.5,0.20%,3,3,3
GraySpursMID,5,0.10%,3,3,3
KamaraAston VillaMID,5,0.20%,2,2,2
WatkinsAston VillaFWD,9,27.50%,2,2,2
DúbravkaBurnleyGKP,4,34.90%,2,2,2
AnthonyBurnleyMID,5.5,0.10%,2,2,2
HannibalBurnleyMID,5,0.10%,2,2,2
LaurentBurnleyMID,5,0.00%,2,2,2
FosterBurnleyFWD,5,0.40%,2,2,2
PetrovićBournemouthGKP,4.5,3.30%,2,2,2
SenesiBournemouthDEF,4.5,0.90%,2,2,2
ScottBournemouthMID,5,0.10%,2,2,2
VerbruggenBrightonGKP,4.5,8.00%,2,2,2
De CuyperBrightonDEF,4.5,6.50%,2,2,2
DunkBrightonDEF,4.5,1.30%,2,2,2
Van HeckeBrightonDEF,4.5,1.20%,2,2,2
MitomaBrightonMID,6.5,7.20%,2,2,2
AndersenFulhamDEF,4.5,3.10%,2,2,2
