Player,Cost,Sel.%,Form,Pts.,RP
J.TimberArsenalDEF,5.5,2.60%,12,24,24
João PedroChelseaFWD,7.5,53.40%,8.5,17,15
CullenBurnleyMID,5,0.20%,9,18,14
CalafioriArsenalDEF,5.6,5.10%,13,26,13
AnthonyBurnleyMID,5.5,0.20%,7.5,15,13
O.DangoBrentfordMID,6,0.10%,6.5,13,13
GyökeresArsenalFWD,9,24.50%,6.5,13,12
TavernierBournemouthMID,5.5,0.60%,7.5,15,11
J.PalhinhaSpursMID,5.5,0.40%,6,12,11
DiakitéBournemouthDEF,4.5,0.20%,5,10,10
KayodeBrentfordDEF,4.5,0.20%,5.5,11,10
EnzoChelseaMID,6.5,3.80%,6.5,13,10
EkdalBurnleyDEF,4,0.30%,5,10,9
SenesiBournemouthDEF,4.5,1.40%,5.5,11,9
CollinsBrentfordDEF,5,1.60%,4.5,9,9
VicarioSpursGKP,5,4.70%,9,18,9
JohnsonSpursMID,7,3.50%,8.5,17,9
L.PaquetáWest HamMID,5.9,1.00%,5.5,11,9
Van den BergBrentfordDEF,4.5,0.50%,5.5,11,8
ChalobahChelseaDEF,5,1.90%,7,14,8
CaicedoChelseaMID,5.5,5.80%,6.5,13,8
NetoChelseaMID,7,3.90%,5,10,7
RomeroSpursDEF,5,3.90%,6.5,13,7
RayaArsenalGKP,5.5,21.20%,8,16,6
GabrielArsenalDEF,6.1,20.90%,6,12,6
SalibaArsenalDEF,6.1,18.00%,7.5,15,6
SakaArsenalMID,10,16.90%,4.5,9,6
RiceArsenalMID,6.5,8.40%,6,12,6
DúbravkaBurnleyGKP,4,34.40%,4,8,6
WalkerBurnleyDEF,4.5,1.90%,3.5,7,6
EstèveBurnleyDEF,4,19.30%,3.5,7,6
HartmanBurnleyDEF,4,0.50%,3.5,7,6
PetrovićBournemouthGKP,4.5,3.60%,4,8,6
SmithBournemouthDEF,4.5,0.40%,3.5,7,6
TruffertBournemouthDEF,4.5,1.00%,3,6,6
SemenyoBournemouthMID,7.1,16.90%,10.5,21,6
Lewis-PotterBrentfordDEF,5,0.40%,3.5,7,6
SpenceSpursDEF,4.5,1.40%,6,12,6
Van de VenSpursDEF,4.5,27.50%,6,12,6
HannibalBurnleyMID,5,0.10%,3.5,7,5
KelleherBrentfordGKP,4.5,10.30%,3,6,5
DamsgaardBrentfordMID,5.9,0.80%,2.5,5,5
YarmoliukBrentfordMID,5,0.00%,3.5,7,5
CucurellaChelseaDEF,6.1,23.10%,6.5,13,5
EstêvãoChelseaMID,6.5,1.70%,2.5,5,5
Pedro PorroSpursDEF,5.5,22.40%,5.5,11,5
DowmanArsenalMID,4.5,0.00%,4,4,4
XhakaSunderlandMID,5,2.90%,3.5,7,4
RicharlisonSpursFWD,6.6,7.60%,8.5,17,4
AgbadouWolvesDEF,4.5,0.40%,2,4,4
MaduekeArsenalMID,7,1.00%,2,4,3
ZubimendiArsenalMID,5.5,2.30%,4,8,3
Bruun LarsenBurnleyMID,5.5,0.00%,2,4,3
UgochukwuBurnleyMID,5,0.00%,2,4,3
BrooksBournemouthMID,5,0.30%,3.5,7,3
SchadeBrentfordMID,7,0.30%,2,4,3
HendersonBrentfordMID,5,0.30%,2,4,3
SánchezChelseaGKP,5,25.40%,5.5,11,3
ReinildoSunderlandDEF,4,8.30%,4.5,9,3
KudusSpursMID,6.5,28.60%,6.5,13,3
BentancurSpursMID,5.5,0.20%,2,4,3
P.M.SarrSpursMID,5,2.80%,4.5,9,3
DioufWest HamDEF,4.5,6.40%,2,4,3
